,H_modelled,H_modelled_grad,H_modelled_lapl,v_modelled,v_modelled_grad,v_modelled_lapl,boundary_proximity,elevation1,elevation1_gradient,elevation1_laplacian,elevation2,elevation2_gradient,elevation2_laplacian,glacier,H,x,y,fold,elevation_diff
28,49.72883,0.54748714,-0.3972683,6.94069,0.37034172,-0.16260338,182.59537,642.5022,0.13648653,-0.00071105966,646.3812,0.09607665,-0.0014589308,scottturnerbreen,63.5107777,520252.113,8668418.259,4,3.8790283
30,49.166355,1.0445107,-0.0120687485,7.2337847,0.6381456,-0.00086927414,175.83185,645.73785,0.119047955,-0.0018630985,649.84955,0.11962175,-0.0028945922,scottturnerbreen,65.4390741,520250.455,8668379.986,4,4.1116943
31,48.83684,1.119207,-0.0025691986,7.376855,0.69461036,-0.00018513203,172.45009,646.9739,0.107696086,0.0016965866,650.9653,0.11154663,0.0036252977,scottturnerbreen,68.82658375,520249.573,8668362.237,4,3.991394
32,48.66695,1.136945,-1.9073486e-06,7.44802,0.71315175,-1.1920929e-07,170.7592,647.6147,0.10919536,0.0027854918,651.75433,0.124371886,0.0015607835,scottturnerbreen,67.99273943,520248.521,8668345.722,4,4.1396484
33,48.327164,1.1616821,0.13790894,7.59035,0.7615592,0.098694086,167.37744,649.1163,0.11063606,0.0021907804,653.14276,0.146084,0.0014932628,scottturnerbreen,67.41946991,520247.902,8668325.854,4,4.0264893
34,48.703594,0.95139784,9.536743e-07,8.437992,0.72356504,3.5762787e-07,162.30481,652.14655,0.14151621,0.0004810337,656.1342,0.17920606,0.0067525865,scottturnerbreen,69.45196529,520249.487,8668301.278,4,3.987671
35,49.032764,0.92184186,-0.8643513,9.059063,0.5863802,-0.51878667,158.9298,654.5476,0.15446466,0.00051326724,659.23254,0.1740999,-0.00037860894,scottturnerbreen,71.64078982,520249.91,8668274.443,5,4.6849365
36,43.97274,2.0597372,-9.536743e-07,6.657271,1.0428301,-2.3841858e-07,155.57494,658.4595,0.1567865,0.00042381324,663.17163,0.17403258,0.0049978257,scottturnerbreen,71.38021633,520251.432,8668249.255,5,4.712158
37,38.98249,1.1273195,0.4187765,4.316679,0.43264663,0.26140243,152.48175,662.4049,0.13974454,-0.00027141557,669.01935,0.25088155,-0.009676551,scottturnerbreen,72.16193614,520251.819,8668222.951,5,6.614441
39,36.21579,0.9799731,-0.21112728,3.622148,0.2892594,-0.05140537,148.35797,667.59143,0.16040672,0.0023996355,673.7969,0.13049172,0.0022085188,scottturnerbreen,74.66342661,520254.819,8668175.528,5,6.2054443
40,33.987926,1.2037905,-0.04490328,3.069261,0.30120495,-0.01093322,147.69183,670.4664,0.15484527,0.00080604525,676.7667,0.12588115,-5.6457473e-05,scottturnerbreen,75.49725264,520256.994,8668155.633,5,6.300354
41,32.158497,1.0866743,0.3899374,2.604852,0.24931699,0.19853961,159.58624,673.1184,0.15059254,0.0012241361,679.0159,0.115382485,0.00551529,scottturnerbreen,75.8620509,520258.911,8668136.816,5,5.897522
42,31.458908,1.1901379,0.7005439,2.6279416,0.47351167,0.32966602,163.92242,676.07996,0.15208289,0.00029964477,682.3452,0.20644248,0.0024705883,scottturnerbreen,77.47758172,520260.076,8668119.264,5,6.265259
43,33.969677,1.7633616,-0.3582735,4.053978,0.77203727,-0.12145722,174.57018,680.6158,0.15567484,-0.0012348176,685.4673,0.09793935,0.009084702,scottturnerbreen,79.19733288,520262.725,8668093.111,5,4.8515015
44,33.247707,1.2874264,0.0029082298,4.0154843,0.5164015,0.052455127,192.06287,686.3707,0.14254561,0.0006484984,690.76953,0.15387583,0.0028923033,scottturnerbreen,76.74798802,520264.762,8668051.194,5,4.3988037
45,32.548462,1.0780936,0.17882061,3.7585888,0.42399693,0.1453389,196.43753,687.7965,0.15971288,0.0017292021,692.45654,0.17212957,0.002314758,scottturnerbreen,74.35074134,520262.801,8668035.313,5,4.660034
46,31.537811,0.34272403,0.43415594,3.4649565,0.092712425,0.2790066,205.18684,691.203,0.17647956,0.00039577507,696.0975,0.19134037,0.00075111457,scottturnerbreen,73.15211175,520260.131,8668022.058,5,4.89447
47,45.73461,1.3339351,0.23846626,3.9346976,0.4347239,0.072432935,149.17365,555.71014,0.21396722,0.0012483601,556.3766,0.21949147,0.002458572,scottturnerbreen,27.33485638,520266.674,8668999.365,3,0.6664429
